Date,Estimated  quantity demand per transaction
31 Jan 2021,97
7 Feb 2021,95
14 Feb 2021,96
21 Feb 2021,93
28 Feb 2021,92
2021-03-07,91
2021-03-14,92
2021-03-21,87
2021-03-28,96
4 Apr 2021,97
11 Apr 2021,105
18 Apr 2021,107
25 Apr 2021,104
2 May 2021,103
9 May 2021,108
16 May 2021,103
23 May 2021,103
30 May 2021,103
6 Jun 2021,99
13 Jun 2021,97
20 Jun 2021,97
27 Jun 2021,98
4 Jul 2021,96
11 Jul 2021,95
18 Jul 2021,94
25 Jul 2021,93
1 Aug 2021,94
8 Aug 2021,94
15 Aug 2021,95
22 Aug 2021,93
29 Aug 2021,92
5 Sep 2021,93
12 Sep 2021,92
19 Sep 2021,94
26 Sep 2021,106
3 Oct 2021,97
10 October 2021,91
17 October 2021,92
24 October 2021,93
31 October 2021,93
7 Nov 2021,93
14 Nov 2021,95
21 Nov 2021,94
28 Nov 2021,94
5 Dec 2021,92
12 Dec 2021,92
19 Dec 2021,91
26 Dec 2021,94
2 Jan 2022,94
9 Jan 2022,94
16 Jan 2022,95
23 Jan 2022,96
30 Jan 2022,96
6 Feb 2022,97
13 Feb 2022,96
20 Feb 2022,99
27 Feb 2022,106
6 Mar 2022,102
13 Mar 2022,102
20 Mar 2022,95
27 Mar 2022,91
3 Apr 2022,96
10 Apr 2022,98
17 Apr 2022,91
24 Apr 2022,89
1 May 2022,90
8 May 2022,89
15 May 2022,89
22 May 2022,89
29 May 2022,88
5 Jun 2022,90
12 Jun 2022,91
19 Jun 2022,88
26 Jun 2022,86
3 Jul 2022,86
10 Jul 2022,84
17 Jul 2022,84
24 Jul 2022,85
31 Jul 2022,87
7 Aug 2022,86
14 Aug 2022,86
21 Aug 2022,89
28 Aug 2022,91
4 Sep 2022,91
11 Sep 2022,93
18 Sep 2022,91
25 Sep 2022,80
2 Oct 2022,89
9 Oct 2022,93
16 Oct 2022,94
23 Oct 2022,
30 Oct 2022,91
6 Nov 2022,92
13 Nov 2022,92
20 Nov 2022,93
27 Nov 2022,93
4 Dec 2022,94
11 Dec 2022,96
18 Dec 2022,97
25 Dec 2022,95
1 Jan 2023,99
8 Jan 2023,97
15 Jan 2023,98
22 Jan 2023,99
29 Jan 2023,98
5 Feb 2023,98
12 Feb 2023,98
19 Feb 2023,96
26 Feb 2023,91
5 Mar 2023,96
12 Mar 2023,95
19 Mar 2023,101
26 Mar 2023,105
2 Apr 2023,103
9 Apr 2023,
16 Apr 2023,102
23 Apr 2023,106
30 Apr 2023,104
7 May 2023,101
14 May 2023,103
21 May 2023,102
28 May 2023,103
4 Jun 2023,104
11 Jun 2023,103
18 Jun 2023,107
25 Jun 2023,108
2 Jul 2023,110
9 Jul 2023,111
16 Jul 2023,114
23 Jul 2023,114
30 Jul 2023,110
6 Aug 2023,111
13 Aug 2023,109
20 Aug 2023,105
27 Aug 2023,103
3 Sep 2023,105
10 Sep 2023,100
17 Sep 2023,102
24 Sep 2023,104
1 Oct 2023,99
8 Oct 2023,99
15 Oct 2023,100
22 Oct 2023,102
29 Oct 2023,103
5 Nov 2023,104
12 Nov 2023,104
19 Nov 2023,104
26 Nov 2023,103
3 Dec 2023,106
10 Dec 2023,103
17 Dec 2023,102
24 Dec 2023,103
31 Dec 2023,102
7 Jan 2024,103
14 Jan 2024,104
21 Jan 2024,102
28 Jan 2024,101
4 Feb 2024,102
11 Feb 2024,102
18 Feb 2024,101
25 Feb 2024,100
3 Mar 2024,99
10 Mar 2024,98
17 Mar 2024,98
24 Mar 2024,99
31 Mar 2024,100
7 Apr 2024,97
14 Apr 2024,98
21 Apr 2024,98
28 Apr 2024,97
5 May 2024,98
12 May 2024,96
19 May 2024,97
26 May 2024,98
2 Jun 2024,98
9 Jun 2024,98
16 Jun 2024,100
23 Jun 2024,97
30 Jun 2024,98
7 Jul 2024,99
14 Jul 2024,98
21 Jul 2024,98
28 Jul 2024,97
4 Aug 2024,96
11 Aug 2024,99
18 Aug 2024,100
25 Aug 2024,103
1 Sep 2024,101
8 Sep 2024,105
15 Sep 2024,107
22 Sep 2024,104
29 Sep 2024,107
6 Oct 2024,108
13 Oct 2024,108
20 Oct 2024,105
27 Oct 2024,105
3 Nov 2024,104
10 Nov 2024,103
17 Nov 2024,104
24 Nov 2024,105
1 Dec 2024,102
8 Dec 2024,100
15 Dec 2024,101
22 Dec 2024,99
29 Dec 2024,100
1/5/25 12:00 AM,101
1/12/25 12:00 AM,100
1/19/25 12:00 AM,98
1/26/25 12:00 AM,101
2/2/25 12:00 AM,100
2/9/25 12:00 AM,101
2/16/25 12:00 AM,102
2/9/25 12:00 AM,101
2/16/25 12:00 AM,102
